Community 19 - top 50 by PageRank
Rank	Verse	PageRank
1	Jas.1.12	0.0002531171
2	Rom.8.29	0.0002448079
3	1Pet.5.10	0.0002396703
4	1Pet.1.7	0.0002330091
5	Rom.8.17	0.0002160107
6	Jas.2.5	0.0001989733
7	2Tim.4.8	0.0001955325
8	John.10.27	0.0001749842
9	Rom.8.37	0.0001629998
10	Heb.13.21	0.0001623698
11	Rom.8.16	0.0001610020
12	1Pet.1.5	0.0001603369
13	1Pet.4.14	0.0001554508
14	Acts.20.24	0.0001531309
15	Rev.3.19	0.0001509599
16	John.17.24	0.0001500778
17	Phil.2.13	0.0001475986
18	Matt.5.11	0.0001444334
19	Eph.4.30	0.0001428089
20	Heb.13.20	0.0001401461
21	1John.4.4	0.0001348727
22	Matt.5.12	0.0001340235
23	Heb.12.10	0.0001315889
24	2Thess.2.13	0.0001279710
25	Heb.3.6	0.0001255407
26	2Tim.1.12	0.0001236960
27	Eph.1.13	0.0001221525
28	Jas.1.2	0.0001195676
29	1Pet.1.6	0.0001193342
30	Acts.9.15	0.0001175440
31	Isa.54.17	0.0001166769
32	1John.5.4	0.0001132324
33	1Thess.5.23	0.0001077035
34	2Tim.4.18	0.0001068702
35	Heb.12.11	0.0001065249
36	Heb.12.9	0.0001058962
37	1Cor.10.13	0.0001045846
38	John.15.2	0.0001041501
39	2Cor.1.22	0.0001035553
40	Eph.4.12	0.0001029875
41	1Cor.2.9	0.0001028625
42	1John.5.5	0.0001026785
43	Eph.6.19	0.0001019927
44	Rom.1.16	0.0001014650
45	Rev.3.9	0.0001007345
46	Rom.16.25	0.0000998198
47	2Thess.1.10	0.0000993975
48	1John.4.13	0.0000992250
49	Matt.10.22	0.0000986487
50	Rom.16.26	0.0000973126
